iter	Passed	Remaining
0	2	2899
1	5	2760
2	8	2863
3	11	2903
4	14	2907
5	17	2944
6	21	3021
7	24	3006
8	25	2848
9	26	2648
10	30	2713
11	33	2775
12	36	2797
13	39	2809
14	41	2756
15	45	2782
16	48	2820
17	51	2826
18	56	2932
19	60	2953
20	63	2982
21	67	2983
22	79	3375
23	83	3375
24	107	4210
25	140	5265
26	143	5160
27	145	5056
28	149	4991
29	152	4931
30	156	4906
31	160	4853
32	163	4801
33	175	4986
34	177	4888
35	179	4797
36	180	4709
37	184	4663
38	185	4578
39	186	4474
40	187	4396
41	189	4322
42	191	4253
43	192	4187
44	194	4124
45	196	4081
46	198	4029
47	200	3974
48	201	3911
49	204	3876
50	204	3812
51	206	3763
52	207	3714
53	209	3667
54	211	3640
55	213	3595
56	215	3557
57	215	3507
58	217	3468
59	218	3429
60	220	3392
61	221	3355
62	223	3320
63	224	3287
64	226	3255
65	227	3222
66	229	3191
67	230	3161
68	232	3133
69	232	3092
70	234	3064
71	236	3052
72	239	3042
73	241	3019
74	242	2995
75	245	2984
76	247	2969
77	249	2947
78	250	2925
79	252	2902
80	254	2884
81	255	2862
82	256	2833
83	257	2810
84	259	2788
85	260	2766
86	261	2744
87	262	2725
88	264	2705
89	265	2687
90	267	2671
91	269	2655
92	270	2638
93	271	2620
94	273	2603
95	274	2587
96	275	2562
97	276	2544
98	277	2527
99	279	2511
100	279	2488
101	280	2473
102	282	2463
103	285	2456
104	286	2442
105	287	2428
106	289	2414
107	290	2400
108	292	2388
109	293	2376
110	295	2366
111	296	2352
112	298	2342
113	299	2330
114	301	2319
115	302	2308
116	304	2297
117	305	2286
118	307	2275
119	308	2265
120	310	2253
121	312	2245
122	313	2235
123	314	2225
124	315	2210
125	316	2195
126	317	2185
127	318	2172
128	320	2163
129	321	2154
130	323	2145
131	324	2133
132	325	2124
133	327	2116
134	328	2107
135	330	2099
136	331	2090
137	333	2081
138	334	2073
139	336	2064
140	337	2057
141	339	2051
142	341	2046
143	343	2039
144	344	2033
145	345	2022
146	347	2014
147	348	2007
148	350	1999
149	351	1991
150	353	1985
151	354	1980
152	356	1973
153	357	1966
154	359	1959
155	360	1952
156	362	1945
157	363	1939
158	365	1932
159	366	1925
160	367	1916
161	369	1912
162	371	1907
163	372	1898
164	374	1892
165	375	1887
166	377	1881
167	378	1876
168	380	1871
169	382	1867
170	384	1863
171	386	1858
172	387	1853
173	388	1845
174	390	1839
175	391	1831
176	392	1825
177	394	1819
178	395	1814
179	397	1811
180	399	1805
181	400	1800
182	402	1795
183	403	1789
184	404	1781
185	406	1777
186	407	1772
187	409	1766
188	410	1762
189	413	1760
190	414	1756
191	415	1748
192	416	1743
193	418	1738
194	418	1729
195	420	1724
196	421	1719
197	423	1714
198	425	1713
199	427	1709
200	428	1704
201	430	1701
202	432	1697
203	433	1692
204	435	1688
205	436	1684
206	438	1680
207	440	1677
208	442	1674
209	444	1671
210	446	1667
211	447	1664
212	449	1661
213	451	1657
214	452	1653
215	454	1650
216	456	1648
217	458	1644
218	459	1640
219	461	1636
220	462	1631
221	464	1627
222	465	1623
223	467	1619
224	469	1616
225	471	1614
226	472	1610
227	473	1604
228	475	1600
229	476	1596
230	478	1592
231	479	1588
232	481	1584
233	483	1581
234	485	1579
235	486	1575
236	488	1571
237	489	1567
238	490	1563
239	492	1559
240	493	1555
241	495	1551
242	497	1548
243	499	1546
244	500	1542
245	502	1538
246	504	1536
247	505	1533
248	507	1530
249	509	1527
250	510	1524
251	512	1522
252	514	1519
253	516	1516
254	518	1513
255	519	1510
256	521	1507
257	523	1504
258	524	1501
259	526	1499
260	528	1497
261	530	1494
262	531	1490
263	533	1487
264	535	1484
265	536	1481
266	538	1477
267	540	1475
268	541	1472
269	543	1469
270	544	1466
271	546	1462
272	547	1459
273	549	1455
274	550	1452
275	552	1448
276	553	1445
277	556	1444
278	557	1441
279	559	1437
280	560	1434
281	562	1431
282	563	1428
283	565	1424
284	566	1421
285	568	1418
286	569	1416
287	571	1413
288	573	1410
289	574	1406
290	576	1403
291	577	1400
292	578	1397
293	580	1393
294	582	1391
295	583	1388
296	585	1386
297	587	1383
298	588	1380
299	590	1377
300	591	1374
301	593	1371
302	594	1368
303	596	1364
304	597	1361
305	599	1359
306	601	1357
307	602	1354
308	604	1351
309	605	1348
310	607	1346
311	609	1344
312	611	1341
313	613	1339
314	614	1336
315	616	1334
316	618	1331
317	620	1329
318	621	1326
319	623	1324
320	625	1322
321	627	1320
322	629	1319
323	631	1316
324	632	1314
325	634	1312
326	636	1309
327	637	1306
328	639	1303
329	640	1301
330	642	1299
331	645	1297
332	646	1295
333	648	1292
334	649	1289
335	651	1286
336	652	1284
337	654	1281
338	655	1278
339	657	1277
340	659	1274
341	660	1271
342	662	1269
343	664	1266
344	665	1263
345	666	1260
346	668	1257
347	669	1255
348	671	1253
349	673	1251
350	675	1248
351	676	1245
352	678	1242
353	679	1240
354	681	1237
355	682	1235
356	684	1232
357	685	1230
358	687	1227
359	689	1225
360	690	1222
361	692	1219
362	693	1216
363	694	1214
364	696	1211
365	697	1208
366	699	1206
367	701	1204
368	703	1202
369	704	1200
370	706	1198
371	708	1195
372	709	1193
373	711	1190
374	712	1188
375	715	1186
376	716	1184
377	718	1181
378	719	1179
379	721	1176
380	722	1174
381	724	1171
382	725	1169
383	727	1167
384	729	1165
385	731	1163
386	733	1161
387	734	1159
388	736	1157
389	738	1154
390	739	1152
391	741	1150
392	743	1148
393	745	1145
394	746	1143
395	747	1140
396	749	1138
397	750	1135
398	752	1133
399	753	1130
400	755	1128
401	757	1126
402	759	1124
403	760	1122
404	762	1119
405	763	1117
406	765	1114
407	766	1112
408	768	1110
409	769	1107
410	771	1105
411	773	1103
412	775	1101
413	776	1099
414	778	1096
415	779	1094
416	780	1091
417	782	1089
418	784	1088
419	787	1087
420	788	1085
421	790	1082
422	792	1080
423	794	1078
424	795	1076
425	797	1073
426	798	1071
427	800	1069
428	802	1067
429	803	1065
430	805	1063
431	807	1061
432	808	1058
433	810	1056
434	812	1054
435	815	1054
436	818	1054
437	820	1052
438	822	1050
439	823	1048
440	825	1046
441	827	1044
442	830	1044
443	832	1042
444	834	1040
445	836	1038
446	837	1036
447	839	1034
448	841	1032
449	843	1031
450	845	1029
451	847	1027
452	849	1025
453	850	1022
454	852	1020
455	853	1018
456	855	1016
457	857	1014
458	859	1012
459	860	1010
460	862	1008
461	864	1006
462	866	1004
463	867	1002
464	869	1000
465	871	998
466	873	996
467	875	994
468	876	992
469	878	990
470	879	988
471	881	986
472	883	984
473	884	981
474	886	979
475	888	978
476	890	976
477	892	974
478	894	972
479	895	970
480	897	968
481	898	965
482	900	963
483	902	962
484	903	959
485	905	957
486	906	955
487	908	953
488	909	950
489	911	948
490	912	946
491	914	943
492	916	942
493	917	940
494	919	937
495	920	935
496	922	933
497	923	931
498	925	929
499	926	926
500	928	924
501	929	922
502	932	920
503	933	918
504	935	916
505	936	914
506	938	912
507	939	910
508	941	907
509	942	905
510	944	903
511	945	901
512	947	899
513	949	897
514	950	895
515	952	893
516	953	891
517	955	888
518	956	886
519	958	884
520	961	883
521	963	881
522	964	879
523	966	877
524	967	875
525	969	873
526	970	871
527	972	869
528	973	866
529	975	865
530	977	863
531	978	861
532	980	859
533	982	857
534	983	854
535	985	852
536	986	850
537	988	848
538	990	847
539	992	845
540	994	843
541	995	841
542	997	839
543	999	837
544	1001	835
545	1002	833
546	1005	832
547	1007	830
548	1008	828
549	1010	826
550	1011	824
551	1013	822
552	1014	820
553	1016	818
554	1018	816
555	1020	814
556	1021	812
557	1023	810
558	1024	808
559	1026	806
560	1027	804
561	1029	802
562	1030	799
563	1032	798
564	1034	796
565	1035	794
566	1037	792
567	1038	789
568	1040	787
569	1041	785
570	1043	783
571	1044	781
572	1045	779
573	1047	777
574	1049	775
575	1050	773
576	1052	771
577	1053	769
578	1055	767
579	1056	765
580	1058	763
581	1060	761
582	1061	759
583	1063	757
584	1065	755
585	1067	753
586	1068	751
587	1070	749
588	1071	747
589	1073	745
590	1074	743
591	1076	742
592	1078	740
593	1080	738
594	1082	736
595	1083	734
596	1085	732
597	1086	730
598	1088	728
599	1089	726
600	1091	724
601	1093	722
602	1094	720
603	1096	718
604	1097	716
605	1099	714
606	1100	712
607	1102	710
608	1103	708
609	1105	706
610	1107	705
611	1108	702
612	1110	700
613	1111	698
614	1113	696
615	1114	694
616	1116	692
617	1117	690
618	1119	688
619	1121	687
620	1122	685
621	1124	683
622	1125	681
623	1126	678
624	1128	676
625	1129	674
626	1131	672
627	1132	670
628	1134	669
629	1136	667
630	1137	665
631	1140	663
632	1142	662
633	1143	660
634	1145	658
635	1146	656
636	1148	654
637	1149	652
638	1151	650
639	1152	648
640	1154	646
641	1156	644
642	1157	642
643	1159	640
644	1161	639
645	1162	637
646	1164	635
647	1166	633
648	1168	631
649	1170	630
650	1172	628
651	1174	626
652	1176	625
653	1178	623
654	1179	621
655	1181	619
656	1182	617
657	1184	615
658	1185	613
659	1187	611
660	1188	609
661	1190	607
662	1192	606
663	1194	604
664	1195	602
665	1197	600
666	1198	598
667	1200	596
668	1201	594
669	1203	592
670	1205	591
671	1207	589
672	1209	587
673	1211	585
674	1212	583
675	1214	582
676	1216	580
677	1217	578
678	1219	576
679	1221	574
680	1222	572
681	1224	570
682	1226	569
683	1228	567
684	1229	565
685	1231	563
686	1232	561
687	1234	559
688	1236	558
689	1238	556
690	1239	554
691	1241	552
692	1242	550
693	1244	548
694	1245	546
